Date,Operation,Amount,Cryptocurrency,FIAT value,FIAT currency,Transaction ID,Withdrawal address,Reference
"2021-03-03T21:18:38+01:00","Staking reward","0.14810023","DFI","0.48502825325","USD","","","3c74c5ba-48f3-45ae-b522-1fe2dc02285d"
"2021-03-03T18:09:45+01:00","Staking reward","0.13958683","DFI","0.4620365949049","USD","","","ccaefe07-92f2-43c5-9a00-a74e1c441a6c"
"2021-03-03T15:00:54+01:00","Staking reward","0.13357688","DFI","0.4501059979232","USD","","","836aeed8-28e7-4a27-863f-5a0518f4f7a5"
"2021-03-03T11:52:39+01:00","Staking reward","0.16258307","DFI","0.5398814713955","USD","","","e256133a-9597-4e78-8042-9673b0d3e588"
"2021-03-03T08:43:31+01:00","Staking reward","0.14756631","DFI","0.4913854826583","USD","","","2ba77b8f-d872-4d67-b448-918b9680797c"
"2021-03-03T05:34:59+01:00","Staking reward","0.14105607","DFI","0.460223639589","USD","","","7037c2b4-86e3-4ee5-bba5-172d6196d38d"
"2021-03-03T02:26:30+01:00","Staking reward","0.27608173","DFI","0.8873128761335","USD","","","3faf5e4d-7fc7-43b7-ac7e-88ac4619f787"
"2021-03-02T23:18:08+01:00","Staking reward","0.28405574","DFI","0.9061378106","USD","","","5aab815c-5d9d-43e6-b1c0-e3093019ba00"
"2021-03-02T20:09:42+01:00","Staking reward","0.27202533","DFI","0.8653833013158","USD","","","ed647756-73da-4a3d-a7d2-40ea4f5278de"
"2021-03-02T17:01:19+01:00","Staking reward","0.27799647","DFI","0.8961661004802","USD","","","8ea1d540-5911-48f3-9d83-658121c5c6f3"
"2021-03-02T13:52:43+01:00","Staking reward","0.29196318","DFI","0.9412250604204","USD","","","1c209639-d327-421f-b7fb-7ecb26fd1bde"
"2021-03-02T10:44:03+01:00","Staking reward","0.29792992","DFI","0.972100639472","USD","","","cd352e94-2e88-4956-b68f-6acc94094b6d"
"2021-03-02T07:35:17+01:00","Staking reward","0.27490299","DFI","0.8807919289899","USD","","","4bb792b7-f8d4-4c86-97a7-a6cc18d53916"
"2021-03-02T04:26:33+01:00","Staking reward","0.31085421","DFI","1.0112553732615","USD","","","0f2ff1c1-749e-4c1d-bc76-8f26afe8215d"
"2021-03-02T01:18:00+01:00","Staking reward","0.30382444","DFI","0.990482865622","USD","","","6854cec4-7329-43a6-b8b6-c268e1c8f19d"
"2021-03-01T22:09:57+01:00","Staking reward","0.28280726","DFI","0.9034221359248","USD","","","0c98b549-a244-467c-af5f-c6bd06d9d2df"
"2021-03-01T21:18:40+01:00","Withdrawal","-34.8","DFI","-110.6988","USD","7b00403f2221d6b3a4e6e50a36ba82e70b42a6579be119e095764ea9a19d97e1","dFv3gWug5n1QCAodXDUjdFEKpbQkeD2Dwa","2c4e39d9-ec8a-44d3-b37c-b0e756aacac4"
"2021-03-01T21:18:40+01:00","Withdrawal fee","-0.2","DFI","-0.6362","USD","","","caeb0618-7a8b-4cfe-a50a-e4752d31815e"
"2021-03-01T19:00:59+01:00","Staking reward","0.32297221","DFI","1.0348933930588","USD","","","0e4890a4-07b1-4058-8d84-fcc21c7838ca"
"2021-03-01T15:52:37+01:00","Staking reward","0.30572551","DFI","0.9577371334117","USD","","","afae67fd-b4b2-4fd0-bf0b-5643beb9eb2a"
"2021-03-01T12:44:15+01:00","Staking reward","0.30265458","DFI","0.9412557438","USD","","","ce537cc6-b709-42ed-bb22-729960dee4c4"
"2021-03-01T09:35:54+01:00","Staking reward","0.30363091","DFI","0.925618829135","USD","","","bc73b0f8-0397-47ae-b345-df0b16e4d9e8"
"2021-03-01T06:27:32+01:00","Staking reward","0.3005601","DFI","0.903835315917","USD","","","265c130a-16ce-484a-943d-d73893d23ef5"
"2021-03-01T03:19:16+01:00","Staking reward","0.27320805","DFI","0.802013159097","USD","","","782988b2-6707-4f2b-94c7-e2aba5b63b1a"
"2021-03-01T00:10:54+01:00","Staking reward","0.3217422","DFI","0.947530779","USD","","","26819cb8-5e3d-4cf5-aefe-30909295d9bf"
"2021-02-28T21:02:35+01:00","Staking reward","0.29641572","DFI","0.8516408976036","USD","","","8a806367-0f3b-4802-aff6-d94e9a26b10f"
"2021-02-28T17:53:32+01:00","Staking reward","0.27817678","DFI","0.7968457316134","USD","","","27afa26e-b292-4175-82bf-b943de020d13"
"2021-02-28T14:44:57+01:00","Staking reward","0.29736223","DFI","0.8806828484795","USD","","","01612e71-36e3-46da-bec4-944e36031188"
"2021-02-28T11:36:12+01:00","Staking reward","0.31148755","DFI","0.9273700784865","USD","","","d1011a0e-ed72-49c8-a085-2663256a2058"
"2021-02-28T08:27:58+01:00","Staking reward","0.29527035","DFI","0.8522240476875","USD","","","c8007c1c-eb5b-4cd0-b773-8cef80190d85"
"2021-02-28T05:19:40+01:00","Staking reward","0.30433624","DFI","0.905400314","USD","","","77852183-3ee8-4d9c-96fc-c6ec7eb78922"
